__label__ham	Tmr timin still da same wat cos i got lesson until 6...
__label__spam	Qjilmcftyf
__label__ham	Im sorry bout last nite it wasnÃ¥Ãt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx
__label__ham	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
__label__ham	Serious? What like proper tongued her
__label__ham	But if she.s drinkin i'm ok.
__label__spam	Awehjflaiwcfehkwfcaiwhefhwqpowijoqmwznsefjkgh
__label__ham	, im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, 
__label__ham	Yeah sure I'll leave in a min
__label__ham	Are you willing to go for aptitude class.
__label__ham	2marrow only. Wed at  &lt;#&gt;  to 2 aha.
__label__ham	Waiting in e car 4 my mum lor. U leh? Reach home already?
__label__ham	Idea will soon get converted to live:)
__label__ham	Yo carlos, a few friends are already asking me about you, you working at all this weekend?
__label__ham	Blank is Blank. But wat is blank? Lol
__label__ham	Depends on where u going lor.
__label__spam	Djskjdfhpowwwihzihxhhzzz
__label__ham	Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
__label__ham	Mostly sports type..lyk footbl,crckt..
__label__ham	Great. Have a safe trip. Dont panic surrender all.
__label__ham	hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around
__label__ham	Lol they don't know about my awesome phone. I could click delete right now if I want.
__label__ham	ARR birthday today:) i wish him to get more oscar.
__label__ham	Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
__label__ham	Hey, iouri gave me your number, I'm wylie, ryan's friend
__label__ham	i cant talk to you now.i will call when i can.dont keep calling.
__label__ham	Itâ°ÃÃ·s Ã¥Â£6 to get in, is that ok?
__label__ham	Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
__label__ham	Nope... Juz off from work...
__label__ham	Gud mrng dear hav a nice day
__label__ham	What you doing?how are you?
__label__ham	Looks like you found something to do other than smoke, great job!
__label__ham	Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.
__label__ham	Yes:)sura in sun tv.:)lol.
__label__ham	Have you laid your airtel line to rest?
__label__ham	U don't remember that old commercial?
__label__ham	K:)eng rocking in ashes:)
__label__ham	Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........
__label__ham	Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.
__label__ham	Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens
__label__ham	Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?
__label__ham	Wat time Ã_ wan today?
__label__ham	Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  
__label__ham	Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
__label__ham	Was it something u ate?
__label__ham	Sday only joined.so training we started today:)
__label__ham	Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
__label__spam	Rhuhnjnjvkbhihfuihevvbb
__label__ham	Bbq this sat at mine from 6ish. Ur welcome 2 come
__label__ham	NO GIFTS!! You trying to get me to throw myself off a cliff or something?
__label__ham	Yar... I tot u knew dis would happen long ago already.
__label__ham	Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
__label__spam	Fxdcgkjgnbhnbhvbf
__label__spam	Werdtfyghvbjnjmiohugvftd
__label__ham	But you dint in touch with me.
__label__ham	Haven't seen my facebook, huh? Lol!
__label__ham	[â°Ã_] anyway, many good evenings to u! s
__label__ham	I've got  &lt;#&gt; , any way I could pick up?
__label__ham	Me fine..absolutly fine
__label__ham	Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
__label__ham	I am in bus on the way to calicut
__label__ham	Jay's getting really impatient and belligerent
__label__ham	Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo
__label__spam	Hzbjhbvyuweyryfa
__label__ham	I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
__label__ham	Dude got a haircut. Now its breezy up there
__label__spam	Ujnbvghyuujn
__label__spam	hvgjnbvghbjnbhvgjfcghjbvghuhygftdrtfg
__label__ham	Are you planning to come chennai?
__label__ham	Huh so late... Fr dinner?
__label__ham	You also didnt get na hi hi hi hi hi
__label__ham	I am in office:)whats the matter..msg me now.i will call you at break:).
__label__ham	I want to go to perumbavoor
__label__ham	Ok. Me watching tv too.
__label__ham	Who's there say hi to our drugdealer
__label__ham	K.k.how is your business now?
__label__ham	Was playng 9 doors game and gt racing on phone lol
__label__spam	Kubhsefkabkwhebfkae
__label__spam	Iwheufhoefiahsiuehbf
__label__spam	uhjnljfgdcfddklknlnk
__label__ham	Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon
__label__ham	As usual..iam fine, happy &amp; doing well..:)
__label__spam	skehfklishelfihekfirhugfgherrfpwpoeiqpzttyyyynvn
__label__ham	Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
__label__spam	Qwedhugvjihbnkm vh cfg bjknm jmkn cfgv bnhnk m
__label__ham	\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
__label__ham	Id onluy matters when getting on from offcampus
__label__ham	Went fast asleep dear.take care.
__label__ham	\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS Ã¥Ã FUCKINNICE!SELFISH
__label__ham	Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
__label__ham	Sorry, I'll call you  later. I am in meeting sir.
__label__ham	2 laptop... I noe infra but too slow lar... I wan fast one
__label__ham	My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar
__label__ham	Will be out of class in a few hours. Sorry
__label__ham	Bring it if you got it
__label__ham	If you're not in my car in an hour and a half I'm going apeshit
__label__spam	Lehrfilauwnjefhilbhjeksfnhkwefawefhuhnik
__label__ham	We left already we at orchard now.
__label__ham	Neshanth..tel me who r u?
__label__ham	Change windows logoff sound..
__label__ham	Lmao. Take a pic and send it to me.
__label__spam	Hjknkjnkjnkjn
__label__ham	Yavnt tried yet and never played original either
__label__ham	Ok ill tell the company
__label__ham	Yes i have. So that's why u texted. Pshew...missing you so much
__label__ham	I'm okay. Chasing the dream. What's good. What are you doing next.
__label__ham	I don't think I can get away for a trek that long with family in town, sorry
__label__ham	Ok lor.
__label__ham	Good morning princess! How are you?
__label__ham	Well thats nice. Too bad i cant eat it
__label__spam	Kjnhkjgfyugjioktdrfcghuk
__label__ham	Tell them the drug dealer's getting impatient
__label__ham	I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
__label__ham	How abt making some of the pics bigger?
__label__spam	Bekhfahefh hwhefiuhaiwhefiahwe fhuihfweh
__label__spam	Fvghjgjhg
__label__ham	Much better now thanks lol
__label__ham	Pls help me tell Ashley that i cant find her number oh
__label__ham	Okie
__label__ham	"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
__label__ham	K...k:)why cant you come here and search job:)
__label__ham	Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
__label__ham	How are you enjoying this semester? Take care brother.
__label__ham	Okay but i thought you were the expert
__label__ham	twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
__label__ham	Who u talking about?
__label__ham	I'm in chennai velachery:)
__label__ham	House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..
__label__ham	Mum ask Ã_ to buy food home...
__label__ham	dont make ne plans for nxt wknd coz she wants us to come down then ok
__label__ham	Probably a couple hours tops
__label__ham	Infact happy new year. How are you where are you when are we seeing
__label__ham	Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
__label__ham	Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary
__label__ham	He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
__label__ham	Well welp is sort of a semiobscure internet thing
__label__ham	Not..tel software name..
__label__ham	Can you just come in for a sec? There's somebody here I want you to see
__label__ham	Sorry i missed your call. Can you please call back.
__label__ham	So check your errors and if you had difficulties, do correction.
__label__ham	Hey... are you going to quit soon? Xuhui and i working till end of the month 
__label__ham	Sorry de i went to shop.
__label__ham	Hey they r not watching movie tonight so i'll prob b home early...
__label__ham	Ok lor. I'm in town now lei.
__label__ham	Ok then u tell me wat time u coming later lor.
__label__spam	Kxndvkxdnvknxdfnvjjjjzzz
__label__ham	Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
__label__ham	I will send them to your email. Do you mind  &lt;#&gt;  times per night?
__label__ham	Don't worry, * is easy once have ingredients!
__label__ham	All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!
__label__ham	Dun need to use dial up juz open da browser n surf...
__label__ham	Sorry, I'll call later
__label__ham	Where is that one day training:-)
__label__ham	Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)
__label__ham	You are so beautiful
__label__ham	We're all getting worried over here, derek and taylor have already assumed the worst
__label__ham	Wot is u up 2 then bitch?
__label__ham	"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
__label__ham	"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT"""
__label__ham	* You gonna ring this weekend or wot?
__label__ham	The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
__label__ham	Pls confirm the time to collect the cheque.
__label__ham	Or just do that 6times
__label__spam	Werdtfcvgbhnqwefgi
__label__ham	Is xy in ur car when u picking me up?
__label__ham	Some of them told accenture is not confirm. Is it true.
__label__ham	Do you know where my lab goggles went
__label__ham	I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
__label__ham	True. Its easier with her here.
__label__ham	Babe, I'm back ... Come back to me ...
__label__ham	Alright, see you in a bit
__label__ham	A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'
__label__spam	Awhefilhailwehfilahweif
__label__ham	Den wat will e schedule b lk on sun?
__label__ham	How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
__label__ham	New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
__label__ham	I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... 
__label__ham	My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
__label__ham	Oh k. . I will come tomorrow
__label__ham	Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
__label__ham	How are you doing. How's the queen. Are you going for the royal wedding
__label__ham	Wait . I will msg after  &lt;#&gt;  min.
__label__ham	I thought slide is enough.
__label__ham	Dare i ask... Any luck with sorting out the car?
__label__ham	Ok... Then r we meeting later?
__label__spam	lkmiholjguikjbkgjhvgfhkjlnb,hjlkytifgvhligkvjhl
__label__ham	I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.
__label__ham	Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
__label__ham	You should get more chicken broth if you want ramen unless there's some I don't know about
__label__ham	Anytime lor...
__label__spam	Sdfghbvfgh
__label__ham	In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade
__label__ham	I canÃ¥Ãt wait for cornwall. Hope tonight isnÃ¥Ãt too bad as well but itÃ¥Ãs rock night shite. Anyway iÃ¥Ãm going for a kip now have a good night. Speak to you soon.
__label__ham	Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola
__label__ham	Sir, i am waiting for your call.
__label__ham	Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.
__label__ham	I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
__label__ham	I WILL CAL YOU SIR. In meeting
__label__ham	Okie but i scared u say i fat... Then u dun wan me already...
__label__ham	Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u
__label__ham	Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.
__label__ham	Nah can't help you there, I've never had an iphone
__label__ham	Be happy there. I will come after noon
__label__ham	Lmao!nice 1
__label__spam	Xznxncmzbxczbwiejriowjer
__label__ham	All sounds good. Fingers . Makes it difficult to type
__label__ham	ÃÃ dun wan to watch infernal affair?
__label__ham	We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! 
__label__ham	"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
__label__ham	Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
__label__ham	I had it already..sabarish asked me to go..
__label__spam	iuolkn,hukjbmn dtrcfhv bkjb 
__label__ham	Carlos says he'll be at mu in  &lt;#&gt;  minutes
__label__ham	"\Are you comingdown later?\"""""
__label__ham	Great. So should i send you my account number.
__label__ham	Hope you are having a great day.
__label__ham	No she didnt. I will search online and let you know.
__label__ham	oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight
__label__ham	Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
__label__ham	Have you bookedthe hut? And also your time off? How are you by the way?
__label__ham	What year. And how many miles.
__label__ham	You do your studies alone without anyones help. If you cant no need to study.
__label__ham	Minimum walk is 3miles a day.
__label__ham	Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
__label__ham	They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?
__label__ham	I av a new number,  . Wil u only use this one,ta.
__label__ham	I am waiting machan. Call me once you free.
__label__ham	Dont talk to him ever ok its my word.
__label__ham	Great comedy..cant stop laughing da:)
__label__ham	And maybe some pressies
__label__ham	Shall i ask one thing if you dont mistake me.
__label__ham	Cool, text me when you're ready
__label__ham	LOL what happens in Vegas stays in vegas
__label__spam	Ftygfyg
__label__ham	G wants to know where the fuck you are
__label__ham	Are you sure you don't mean \get here
__label__spam	lindghksnekfgnsdgn jewlkrfnsjwflknms ,d
__label__ham	Can not use foreign stamps in this country. Good lecture .
__label__ham	Dont know supports ass and srt i thnk. I think ps3 can play through usb too
__label__ham	No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me
__label__ham	All day working day:)except saturday and sunday..
__label__ham	I want snow. It's just freezing and windy.
__label__ham	do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
__label__ham	Now got tv 2 watch meh? U no work today?
__label__spam	Ikherslhfsherf gksgrfhksegw rfhkag wgfhakwgfkhgawkef 
__label__spam	Srdxfvjhb jhiujvgfyu ghb ujuh ugyhgvfhuouufvgyihuijhigk
